id,web_name,first_name,second_name,team,element_type,now_cost,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,bps,form,selected_by_percent,transfers_in,transfers_out,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,status,news,chance_of_playing_next_round,price_M,position,pts_per_million,team_name,team_short
572,Dragusin,Radu,Drăgușin,18,2,45,11,1.6,423,0,0,0,12,0,0,0,18,2.0,0.0,3319,2499,0.31,0.0,0.31,10.24,99.2,2.7,27.0,12.9,a,,100.0,4.5,DEF,2.4444444444444446,Spurs,TOT
573,Spence,Djed,Spence,18,2,42,55,2.5,1686,0,0,7,27,4,0,1,209,0.0,0.9,299402,360560,0.82,1.73,2.55,28.15,233.2,190.1,153.0,57.5,a,,100.0,4.2,DEF,13.095238095238095,Spurs,TOT
574,Udogie,Destiny,Udogie,18,2,43,15,1.2,794,0,1,0,17,2,0,0,62,0.0,0.3,50389,113577,0.16,0.51,0.67,13.98,144.0,122.3,82.0,34.9,d,Hamstring injury - 50% chance of playing,50.0,4.3,DEF,3.488372093023256,Spurs,TOT
575,Van de Ven,Micky,van de Ven,18,2,44,97,3.6,2366,4,1,7,42,7,1,10,338,0.0,20.7,3495700,4187399,2.79,0.34,3.13,37.24,583.2,80.2,204.0,86.6,s,Suspended until 22 Mar,0.0,4.4,DEF,22.045454545454543,Spurs,TOT
576,Phillips,Ashley,Phillips,18,2,40,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,Has joined Stoke City on loan for the rest of the season.,0.0,4.0,DEF,0.0,Spurs,TOT
577,Takai,Takai,Kōta,18,2,40,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1005,9046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Borussia Mönchengladbach on loan for the rest of the season.,0.0,4.0,DEF,0.0,Spurs,TOT
578,Vuskovic,Luka,Vušković,18,2,39,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.3,7334,92012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Hamburger SV on loan for the rest of the season.,0.0,3.9,DEF,0.0,Spurs,TOT
579,Son,Son,Heung-min,18,3,85,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,0,25553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Los Angeles FC permanently.,0.0,8.5,MID,0.0,Spurs,TOT
581,Maddison,James,Maddison,18,3,68,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.1,1777,23822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i,Anterior cruciate ligament - Unknown return date,0.0,6.8,MID,0.0,Spurs,TOT
582,Kudus,Mohammed,Kudus,18,3,64,75,3.9,1535,2,6,7,20,3,0,7,257,0.0,9.4,3263312,5205124,1.92,2.41,4.33,22.74,333.4,413.8,302.0,104.7,i,Thigh injury - Expected back 11 Apr,0.0,6.4,MID,11.71875,Spurs,TOT
583,Kulusevski,Dejan,Kulusevski,18,3,64,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,1014,2098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i,Knee injury - Unknown return date,0.0,6.4,MID,0.0,Spurs,TOT
584,Tel,Mathys,Tel,18,3,62,52,2.4,751,3,1,1,16,0,0,5,167,1.2,0.1,40422,46386,1.88,0.99,2.86,11.99,170.4,223.9,226.0,62.3,a,,,6.2,MID,8.387096774193548,Spurs,TOT
585,Bentancur,Rodrigo,Bentancur,18,3,52,64,3.2,1407,1,1,5,21,5,0,3,269,0.0,0.2,56894,66596,0.45,0.68,1.13,20.56,268.6,159.7,85.0,51.6,i,Hamstring injury - Unknown return date,0.0,5.2,MID,12.307692307692307,Spurs,TOT
586,Bergvall,Lucas,Bergvall,18,3,52,39,2.3,799,1,2,3,13,2,0,0,139,0.0,0.2,102342,111307,0.96,0.39,1.35,10.21,137.4,81.4,133.0,35.3,i,Ankle injury - Unknown return date,0.0,5.2,MID,7.5,Spurs,TOT
587,Bissouma,Yves,Bissouma,18,3,52,13,1.6,460,0,0,0,15,3,0,0,88,1.5,0.0,3289,14684,0.36,0.08,0.44,11.22,83.8,18.9,23.0,12.6,a,,100.0,5.2,MID,2.5,Spurs,TOT
588,Odobert,Wilson,Odobert,18,3,53,46,1.9,972,0,2,2,13,0,0,6,176,0.2,0.0,16367,17890,1.92,1.21,3.13,14.24,158.8,284.3,234.0,67.6,i,Knee injury - Unknown return date,0.0,5.3,MID,8.679245283018869,Spurs,TOT
589,Solomon,Manor,Solomon,18,3,54,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,115,1477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,u,has joined Fiorentina on loan for the rest of the season.,0.0,5.4,MID,0.0,Spurs,TOT
